Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude
N1 9WF,No,51.533122,-0.115163,530832,183263,TQ308832,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1997-12-01,2001-06-01,"","",,,"Greater London","Islington","Islington 019B","Urban major conurbation",London,31
N1 9WG,No,51.538425,-0.103278,531641,183874,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",1997-12-01,2006-02-01,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9WH,No,51.538425,-0.103278,531641,183874,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2006-08-01,2008-09-01,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9WJ,No,51.538425,-0.103278,531641,183874,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",1998-06-01,2006-02-01,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9WL,No,51.538425,-0.103278,531641,183874,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2006-05-01,2008-06-01,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9WN,No,51.538425,-0.103278,531641,183874,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",1998-06-01,2006-02-01,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9WP,No,51.539277,-0.103676,531611,183968,TQ316839,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2003-09-01,2003-10-01,"","",,,"Greater London","Islington","Islington 017E","Urban major conurbation",London,41
N1 9WQ,Yes,51.538645,-0.103543,531622,183898,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",1997-12-01,,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9WR,No,51.539277,-0.103676,531611,183968,TQ316839,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2003-04-01,2004-06-01,"","",,,"Greater London","Islington","Islington 017E","Urban major conurbation",London,41
N1 9WS,No,51.538425,-0.103278,531641,183874,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2005-08-01,2006-09-01,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9WT,No,51.538425,-0.103278,531641,183874,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2004-06-01,2007-05-01,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9WU,Yes,51.538645,-0.103543,531622,183898,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2000-12-01,,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9WW,Yes,51.538645,-0.103543,531622,183898,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2006-07-01,,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9WX,Yes,51.538645,-0.103543,531622,183898,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",1999-06-01,,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9WY,No,51.538425,-0.103278,531641,183874,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",1999-06-01,2008-12-01,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9WZ,No,51.539277,-0.103676,531611,183968,TQ316839,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2003-09-01,2003-10-01,"","",,,"Greater London","Islington","Islington 017E","Urban major conurbation",London,41
N1 9XA,No,51.532048,-0.107638,531357,183157,TQ313831,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",2001-12-01,2003-10-01,"","",,,"Greater London","Islington","Islington 020A","Urban major conurbation",London,40
N1 9XB,No,51.532048,-0.107638,531357,183157,TQ313831,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1987-04-01,2006-09-01,"","",,,"Greater London","Islington","Islington 020A","Urban major conurbation",London,40
N1 9XD,No,51.532049,-0.107681,531354,183157,TQ313831,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1986-04-01,2004-05-01,"","",,,"Greater London","Islington","Islington 020A","Urban major conurbation",London,40
N1 9XE,No,51.532049,-0.107681,531354,183157,TQ313831,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",2004-01-01,2004-11-01,"","",,,"Greater London","Islington","Islington 020A","Urban major conurbation",London,40
N1 9XF,No,51.538425,-0.103278,531641,183874,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2003-04-01,2006-03-01,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9XG,No,51.531526,-0.10704,531400,183100,TQ314831,"Greater London","Islington","Clerkenwell", E09000019,E05000370,England,E11000009,"Islington South and Finsbury",1990-02-01,1995-01-01,"","",,,"Greater London","Islington","Islington 021C","Urban major conurbation",London,40
N1 9XH,Yes,51.532674,-0.11746,530674,183209,TQ306832,"Greater London","Islington","Caledonian", E09000019,E05000368,England,E11000009,"Islington South and Finsbury",1998-12-01,,"","",,,"Greater London","Islington","Islington 021B","Urban major conurbation",London,24
N1 9XJ,No,51.532686,-0.107049,531396,183229,TQ313832,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1987-04-01,2010-01-01,"","",,,"Greater London","Islington","Islington 020A","Urban major conurbation",London,42
N1 9XL,No,51.538425,-0.103278,531641,183874,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2007-01-01,2007-01-01,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9XN,No,51.533782,-0.121509,530390,183325,TQ303833,"Greater London","Islington","Caledonian", E09000019,E05000368,England,E11000009,"Islington South and Finsbury",2003-04-01,2005-09-01,"","",,,"Greater London","Islington","Islington 021B","Urban major conurbation",London,24
N1 9XP,No,51.538425,-0.103278,531641,183874,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2004-01-01,2007-01-01,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9XQ,Yes,51.538645,-0.103543,531622,183898,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2004-02-01,,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9XR,No,51.531233,-0.112848,530998,183057,TQ309830,"Greater London","Islington","Clerkenwell", E09000019,E05000370,England,E11000009,"Islington South and Finsbury",1987-04-01,2001-01-01,"","",,,"Greater London","Islington","Islington 021D","Urban major conurbation",London,37
N1 9XS,No,51.538425,-0.103278,531641,183874,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2005-01-01,2006-04-01,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9XT,No,51.538425,-0.103278,531641,183874,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",1990-07-01,2009-05-01,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9XU,No,51.538425,-0.103278,531641,183874,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",1987-04-01,2008-06-01,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9XW,Yes,51.533782,-0.121509,530390,183325,TQ303833,"Greater London","Islington","Caledonian", E09000019,E05000368,England,E11000009,"Islington South and Finsbury",2015-04-01,,"","",2,1,"Greater London","Islington","Islington 021B","Urban major conurbation",London,24
N1 9XX,No,51.538425,-0.103278,531641,183874,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2005-08-01,2006-09-01,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9XY,No,51.538425,-0.103278,531641,183874,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2005-04-01,2007-04-01,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9XZ,No,51.538425,-0.103278,531641,183874,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2002-07-01,2009-08-01,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9YA,No,51.533122,-0.115163,530832,183263,TQ308832,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1997-12-01,1998-06-01,"","",,,"Greater London","Islington","Islington 019B","Urban major conurbation",London,31
N1 9YB,Yes,51.538645,-0.103543,531622,183898,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",1995-01-01,,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9YD,No,51.538425,-0.103278,531641,183874,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2007-01-01,2010-03-01,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9YE,No,51.530836,-0.120044,530500,183000,TQ305830,"Greater London","Camden","King's Cross", E09000007,E05000141,England,E11000009,"Holborn and St Pancras",1990-02-01,1995-07-01,"","",,,"Greater London","Camden","Camden 024B","Urban major conurbation",London,19
N1 9YF,No,51.538425,-0.103278,531641,183874,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2004-07-01,2006-01-01,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9YG,No,51.533122,-0.115163,530832,183263,TQ308832,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1990-02-01,1998-12-01,"","",,,"Greater London","Islington","Islington 019B","Urban major conurbation",London,31
N1 9YH,No,51.539277,-0.103676,531611,183968,TQ316839,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2004-03-01,2005-07-01,"","",,,"Greater London","Islington","Islington 017E","Urban major conurbation",London,41
N1 9YJ,No,51.531665,-0.115685,530800,183100,TQ308831,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1990-02-01,1991-12-01,"","",,,"Greater London","Islington","Islington 019B","Urban major conurbation",London,27
N1 9YL,No,51.538425,-0.103278,531641,183874,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2004-02-01,2008-04-01,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9YN,No,51.531549,-0.108481,531300,183100,TQ313831,"Greater London","Islington","Clerkenwell", E09000019,E05000370,England,E11000009,"Islington South and Finsbury",1990-07-01,1995-07-01,"","",,,"Greater London","Islington","Islington 021C","Urban major conurbation",London,40
N1 9YP,No,51.538425,-0.103278,531641,183874,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2002-06-01,2010-12-01,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9YQ,No,51.539277,-0.103676,531611,183968,TQ316839,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2002-06-01,2003-10-01,"","",,,"Greater London","Islington","Islington 017E","Urban major conurbation",London,41
N1 9YR,No,51.531549,-0.108481,531300,183100,TQ313831,"Greater London","Islington","Clerkenwell", E09000019,E05000370,England,E11000009,"Islington South and Finsbury",1990-07-01,1991-12-01,"","",,,"Greater London","Islington","Islington 021C","Urban major conurbation",London,40
N1 9YS,No,51.538425,-0.103278,531641,183874,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2005-04-01,2006-03-01,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9YT,No,51.539277,-0.103676,531611,183968,TQ316839,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2003-03-01,2004-06-01,"","",,,"Greater London","Islington","Islington 017E","Urban major conurbation",London,41
N1 9YU,No,51.531549,-0.108481,531300,183100,TQ313831,"Greater London","Islington","Clerkenwell", E09000019,E05000370,England,E11000009,"Islington South and Finsbury",1995-01-01,1995-12-01,"","",,,"Greater London","Islington","Islington 021C","Urban major conurbation",London,40
N1 9YW,No,51.531549,-0.108481,531300,183100,TQ313831,"Greater London","Islington","Clerkenwell", E09000019,E05000370,England,E11000009,"Islington South and Finsbury",1990-07-01,1992-12-01,"","",,,"Greater London","Islington","Islington 021C","Urban major conurbation",London,40
N1 9YX,No,51.539277,-0.103676,531611,183968,TQ316839,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2003-11-01,2004-06-01,"","",,,"Greater London","Islington","Islington 017E","Urban major conurbation",London,41
N1 9YY,No,51.538425,-0.103278,531641,183874,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2003-09-01,2006-02-01,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9YZ,No,51.531549,-0.108481,531300,183100,TQ313831,"Greater London","Islington","Clerkenwell", E09000019,E05000370,England,E11000009,"Islington South and Finsbury",1991-09-01,1997-06-01,"","",,,"Greater London","Islington","Islington 021C","Urban major conurbation",London,40
N1 9ZA,No,51.533122,-0.115163,530832,183263,TQ308832,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1999-12-01,2001-06-01,"","",,,"Greater London","Islington","Islington 019B","Urban major conurbation",London,31
N1 9ZB,No,51.533122,-0.115163,530832,183263,TQ308832,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1999-12-01,2001-05-01,"","",,,"Greater London","Islington","Islington 019B","Urban major conurbation",London,31
N1 9ZD,No,51.539277,-0.103676,531611,183968,TQ316839,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2000-06-01,2005-03-01,"","",,,"Greater London","Islington","Islington 017E","Urban major conurbation",London,41
N1 9ZE,No,51.539277,-0.103676,531611,183968,TQ316839,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2000-06-01,2001-11-01,"","",,,"Greater London","Islington","Islington 017E","Urban major conurbation",London,41
N1 9ZF,No,51.539277,-0.103676,531611,183968,TQ316839,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2000-12-01,2001-11-01,"","",,,"Greater London","Islington","Islington 017E","Urban major conurbation",London,41
N1 9ZG,No,51.539277,-0.103676,531611,183968,TQ316839,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2000-12-01,2002-05-01,"","",,,"Greater London","Islington","Islington 017E","Urban major conurbation",London,41
N1 9ZH,No,51.539277,-0.103676,531611,183968,TQ316839,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2001-06-01,2002-05-01,"","",,,"Greater London","Islington","Islington 017E","Urban major conurbation",London,41
N1 9ZJ,Yes,51.538645,-0.103543,531622,183898,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2001-06-01,,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9ZL,Yes,51.538645,-0.103543,531622,183898,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2001-06-01,,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9ZN,No,51.538425,-0.103278,531641,183874,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2001-06-01,2012-02-01,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9ZP,No,51.538425,-0.103278,531641,183874,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2001-06-01,2008-07-01,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9ZQ,No,51.538425,-0.103278,531641,183874,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2001-06-01,2008-06-01,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9ZR,No,51.538425,-0.103278,531641,183874,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2001-06-01,2006-03-01,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9ZS,No,51.539277,-0.103676,531611,183968,TQ316839,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2001-06-01,2005-09-01,"","",,,"Greater London","Islington","Islington 017E","Urban major conurbation",London,41
N1 9ZT,No,51.539277,-0.103676,531611,183968,TQ316839,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2001-12-01,2004-06-01,"","",,,"Greater London","Islington","Islington 017E","Urban major conurbation",London,41
N1 9ZW,No,51.538425,-0.103278,531641,183874,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2001-06-01,2006-03-01,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N10 1AA,Yes,51.600529,-0.150711,528177,190696,TQ281906,"Greater London","Barnet","Coppetts", E09000003,E05000047,England,E11000009,"Chipping Barnet",1980-01-01,,"","",126,43,"Greater London","Barnet","Barnet 022D","Urban major conurbation",London,61
N10 1AB,Yes,51.600194,-0.15058,528187,190659,TQ281906,"Greater London","Barnet","Coppetts", E09000003,E05000047,England,E11000009,"Chipping Barnet",1980-01-01,,"","",152,52,"Greater London","Barnet","Barnet 022A","Urban major conurbation",London,63
N10 1AD,Yes,51.601212,-0.149571,528254,190774,TQ282907,"Greater London","Barnet","Coppetts", E09000003,E05000047,England,E11000009,"Chipping Barnet",1980-01-01,,"","",40,11,"Greater London","Barnet","Barnet 022D","Urban major conurbation",London,61
N10 1AE,Yes,51.601593,-0.149209,528278,190817,TQ282908,"Greater London","Barnet","Coppetts", E09000003,E05000047,England,E11000009,"Chipping Barnet",1980-01-01,,"","",43,18,"Greater London","Barnet","Barnet 022A","Urban major conurbation",London,62
N10 1AF,Yes,51.603928,-0.155829,527813,191065,TQ278910,"Greater London","Haringey","Fortis Green", E09000014,E05000270,England,E11000009,"Hornsey and Wood Green",2009-01-01,,"","",167,61,"Greater London","Haringey","Haringey 017D","Urban major conurbation",London,59
N10 1AG,Yes,51.601286,-0.150276,528205,190781,TQ282907,"Greater London","Barnet","Coppetts", E09000003,E05000047,England,E11000009,"Chipping Barnet",1980-01-01,,"","",19,8,"Greater London","Barnet","Barnet 022D","Urban major conurbation",London,59
N10 1AH,Yes,51.602225,-0.150498,528187,190885,TQ281908,"Greater London","Barnet","Coppetts", E09000003,E05000047,England,E11000009,"Chipping Barnet",1980-01-01,,"","",51,20,"Greater London","Barnet","Barnet 022D","Urban major conurbation",London,58
N10 1AJ,Yes,51.60252,-0.149244,528273,190920,TQ282909,"Greater London","Barnet","Coppetts", E09000003,E05000047,England,E11000009,"Chipping Barnet",1980-01-01,,"","",21,8,"Greater London","Barnet","Barnet 022D","Urban major conurbation",London,60
N10 1AL,Yes,51.603723,-0.150234,528201,191052,TQ282910,"Greater London","Barnet","Coppetts", E09000003,E05000047,England,E11000009,"Chipping Barnet",1980-01-01,,"","",133,44,"Greater London","Barnet","Barnet 022D","Urban major conurbation",London,55
N10 1AN,Yes,51.604221,-0.151052,528143,191106,TQ281911,"Greater London","Barnet","Coppetts", E09000003,E05000047,England,E11000009,"Chipping Barnet",1980-01-01,,"","",140,46,"Greater London","Barnet","Barnet 022D","Urban major conurbation",London,55
N10 1AP,Yes,51.604979,-0.149519,528247,191193,TQ282911,"Greater London","Barnet","Coppetts", E09000003,E05000047,England,E11000009,"Chipping Barnet",1980-01-01,,"","",30,9,"Greater London","Barnet","Barnet 022D","Urban major conurbation",London,49
N10 1AQ,Yes,51.601969,-0.149064,528287,190859,TQ282908,"Greater London","Barnet","Coppetts", E09000003,E05000047,England,E11000009,"Chipping Barnet",1991-09-01,,"","",19,12,"Greater London","Barnet","Barnet 022D","Urban major conurbation",London,62
N10 1AR,Yes,51.60438,-0.149731,528234,191126,TQ282911,"Greater London","Barnet","Coppetts", E09000003,E05000047,England,E11000009,"Chipping Barnet",1980-01-01,,"","",67,24,"Greater London","Barnet","Barnet 022D","Urban major conurbation",London,51
N10 1AS,Yes,51.60439,-0.149211,528270,191128,TQ282911,"Greater London","Barnet","Coppetts", E09000003,E05000047,England,E11000009,"Chipping Barnet",1980-01-01,,"","",14,6,"Greater London","Barnet","Barnet 022D","Urban major conurbation",London,51
N11 1RR,Yes,51.613954,-0.137036,529086,192213,TQ290922,"Greater London","Enfield","Southgate Green", E09000010,E05000209,England,E11000009,"Enfield, Southgate",1980-01-01,,"","",6,1,"Greater London","Enfield","Enfield 032C","Urban major conurbation",London,48
N11 1RS,Yes,51.615029,-0.140198,528864,192327,TQ288923,"Greater London","Enfield","Southgate Green", E09000010,E05000209,England,E11000009,"Enfield, Southgate",1980-01-01,,"","",37,16,"Greater London","Enfield","Enfield 032C","Urban major conurbation",London,57
N11 1RT,No,51.612981,-0.139762,528900,192100,TQ289921,"Greater London","Enfield","Southgate Green", E09000010,E05000209,England,E11000009,"Enfield, Southgate",1980-01-01,2000-06-01,"","",,,"Greater London","Enfield","Enfield 032B","Urban major conurbation",London,48
N11 1RU,Yes,51.613773,-0.138083,529014,192191,TQ290921,"Greater London","Enfield","Southgate Green", E09000010,E05000209,England,E11000009,"Enfield, Southgate",1980-01-01,,"","",39,19,"Greater London","Enfield","Enfield 032C","Urban major conurbation",London,49
N11 1RW,Yes,51.609244,-0.110712,530922,191736,TQ309917,"Greater London","Enfield","Bowes", E09000010,E05000193,England,E11000009,"Enfield, Southgate",1980-01-01,,"","",,,"Greater London","Enfield","Enfield 036D","Urban major conurbation",London,30
N12 0YW,No,51.616896,-0.180698,526055,192464,TQ260924,"Greater London","Barnet","Totteridge", E09000003,E05000059,England,E11000009,"Chipping Barnet",2007-10-01,2008-12-01,"","",,,"Greater London","Barnet","Barnet 012B","Urban major conurbation",London,92
N12 0YX,No,51.616896,-0.180698,526055,192464,TQ260924,"Greater London","Barnet","Totteridge", E09000003,E05000059,England,E11000009,"Chipping Barnet",2007-09-01,2008-10-01,"","",,,"Greater London","Barnet","Barnet 012B","Urban major conurbation",London,92
N12 0YY,Yes,51.616851,-0.180728,526053,192459,TQ260924,"Greater London","Barnet","Totteridge", E09000003,E05000059,England,E11000009,"Chipping Barnet",2007-08-01,,"","",1,1,"Greater London","Barnet","Barnet 012B","Urban major conurbation",London,92
N13 4NW,No,51.612636,-0.118111,530400,192100,TQ304921,"Greater London","Enfield","Southgate Green", E09000010,E05000209,England,E11000009,"Enfield, Southgate",1992-01-01,1995-07-01,"","",,,"Greater London","Enfield","Enfield 036F","Urban major conurbation",London,34
N13 4NX,Yes,51.614174,-0.120344,530241,192267,TQ302922,"Greater London","Enfield","Southgate Green", E09000010,E05000209,England,E11000009,"Enfield, Southgate",1980-01-01,,"","",16,7,"Greater London","Enfield","Enfield 028E","Urban major conurbation",London,31
N13 4NY,Yes,51.61435,-0.11843,530373,192290,TQ303922,"Greater London","Enfield","Southgate Green", E09000010,E05000209,England,E11000009,"Enfield, Southgate",1980-01-01,,"","",100,36,"Greater London","Enfield","Enfield 036F","Urban major conurbation",London,30
N14 5AX,Yes,51.628465,-0.141412,528742,193819,TQ287938,"Greater London","Barnet","Brunswick Park", E09000003,E05000043,England,E11000009,"Chipping Barnet",1980-01-01,,"","",101,41,"Greater London","Barnet","Barnet 009C","Urban major conurbation",London,52
N14 5AY,Yes,51.627964,-0.140435,528811,193765,TQ288937,"Greater London","Barnet","Brunswick Park", E09000003,E05000043,England,E11000009,"Chipping Barnet",1980-01-01,,"","",49,18,"Greater London","Barnet","Barnet 009C","Urban major conurbation",London,55
N14 5AZ,No,51.630604,-0.128305,529643,194080,TQ296940,"Greater London","Enfield","Southgate", E09000010,E05000208,England,E11000009,"Enfield, Southgate",1996-06-01,2008-03-01,"","",,,"Greater London","Enfield","Enfield 020D","Urban major conurbation",London,76
N15 4FL,Yes,51.588471,-0.068728,533890,189502,TQ338895,"Greater London","Haringey","Tottenham Green", E09000014,E05000280,England,E11000009,"Tottenham",2014-04-01,,"","",,,"Greater London","Haringey","Haringey 025A","Urban major conurbation",London,15
N15 4FN,Yes,51.586866,-0.073906,533536,189314,TQ335893,"Greater London","Haringey","Tottenham Green", E09000014,E05000280,England,E11000009,"Tottenham",2013-12-01,,"","",,,"Greater London","Haringey","Haringey 025A","Urban major conurbation",London,18
N15 4FP,Yes,51.587298,-0.07448,533495,189361,TQ334893,"Greater London","Haringey","Tottenham Green", E09000014,E05000280,England,E11000009,"Tottenham",2013-09-01,,"","",,,"Greater London","Haringey","Haringey 025A","Urban major conurbation",London,17
N16 5QQ,Yes,51.567853,-0.075951,533450,187196,TQ334871,"Greater London","Hackney","Stamford Hill West", E09000012,E05009384,England,E11000009,"Hackney North and Stoke Newington",1980-01-01,,"","",35,21,"Greater London","Hackney","Hackney 004C","Urban major conurbation",London,26
N16 5QR,Yes,51.568732,-0.075236,533497,187295,TQ334872,"Greater London","Hackney","Stamford Hill West", E09000012,E05009384,England,E11000009,"Hackney North and Stoke Newington",1980-01-01,,"","",29,9,"Greater London","Hackney","Hackney 003A","Urban major conurbation",London,29
N16 5QS,Yes,51.571337,-0.077824,533310,187580,TQ333875,"Greater London","Hackney","Stamford Hill West", E09000012,E05009384,England,E11000009,"Hackney North and Stoke Newington",1980-01-01,,"","",141,37,"Greater London","Hackney","Hackney 003E","Urban major conurbation",London,29
N17 6DE,Yes,51.589553,-0.082584,532927,189597,TQ329895,"Greater London","Haringey","Bruce Grove", E09000014,E05000268,England,E11000009,"Tottenham",1980-01-01,,"","",106,40,"Greater London","Haringey","Haringey 018D","Urban major conurbation",London,24
N17 6DF,No,51.593722,-0.079651,533118,190066,TQ331900,"Greater London","Haringey","Bruce Grove", E09000014,E05000268,England,E11000009,"Tottenham",1996-06-01,1997-12-01,"","",,,"Greater London","Haringey","Haringey 018A","Urban major conurbation",London,24
N17 6DG,Yes,51.589706,-0.082058,532963,189615,TQ329896,"Greater London","Haringey","Bruce Grove", E09000014,E05000268,England,E11000009,"Tottenham",1980-01-01,,"","",117,43,"Greater London","Haringey","Haringey 018D","Urban major conurbation",London,24
